image,lat,lon,description,mapillary_id,captured_at,verified_bbox
mapillary_2037645319983254_000000.jpg,-23.008107641892,-43.316550212248,Mapillary image 2037645319983254 within bbox,2037645319983254,1724687981880,True
mapillary_2111551148987837_000001.jpg,-22.981158731419,-43.365383232676,Mapillary image 2111551148987837 within bbox,2111551148987837,1563906327000,True
mapillary_3928773800524387_000002.jpg,-23.000060546337,-43.273213693559,Mapillary image 3928773800524387 within bbox,3928773800524387,1552925488000,True
mapillary_3968763736539393_000003.jpg,-22.855541911434,-43.252259175754,Mapillary image 3968763736539393 within bbox,3968763736539393,1620733306297,True
mapillary_4433225113406084_000004.jpg,-23.008527002236,-43.295790251536,Mapillary image 4433225113406084 within bbox,4433225113406084,1620737775797,True
mapillary_4429659417056118_000005.jpg,-23.006365981802,-43.28209537408,Mapillary image 4429659417056118 within bbox,4429659417056118,1542562116149,True
mapillary_2137190850007498_000006.jpg,-22.98289224372,-43.298248709288,Mapillary image 2137190850007498 within bbox,2137190850007498,1724687210810,True
mapillary_2160936524062097_000007.jpg,-22.976481562956,-43.188279355568,Mapillary image 2160936524062097 within bbox,2160936524062097,1541332072145,True
mapillary_3088760958072811_000008.jpg,-22.815388338382,-43.325737192614,Mapillary image 3088760958072811 within bbox,3088760958072811,1620915583789,True
mapillary_3162919013980838_000009.jpg,-22.896944965823,-43.205842069728,Mapillary image 3162919013980838 within bbox,3162919013980838,1627729643292,True
mapillary_1745571042880568_000010.jpg,-22.845393023589,-43.255132118232,Mapillary image 1745571042880568 within bbox,1745571042880568,1728397872134,True
mapillary_1965676573859846_000011.jpg,-22.872243878847,-43.25254763316,Mapillary image 1965676573859846 within bbox,1965676573859846,1728392789696,True
mapillary_2194841080656893_000012.jpg,-22.914618287311,-43.176045889122,Mapillary image 2194841080656893 within bbox,2194841080656893,1620418289800,True
mapillary_4584024188292225_000013.jpg,-22.930681652914,-43.363888879135,Mapillary image 4584024188292225 within bbox,4584024188292225,1620497386789,True
mapillary_4696387213711088_000014.jpg,-22.976939903159,-43.199252938477,Mapillary image 4696387213711088 within bbox,4696387213711088,1550081853000,True
